date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:00	83/83	---MCZ	200	added ('OK')	text/plain	date:Wed,%2007%20Jan%202026%2008:20:01%20GMT	https://roseline-demo.envelope.id/robots.txt		(from )
15:20:01	253967/253967	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202026%2008:20:02%20GMT	https://roseline-demo.envelope.id/?mode=demo	C:/My%20Web%20Sites/wed8/roseline-demo.envelope.id/index3910.html	(from )
15:20:01	87533/87533	---M--	200	added ('OK')	text/javascript	date:Tue,%2012%20Sep%202023%2002:38:22%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js	C:/My%20Web%20Sites/wed8/ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js	(from https://roseline-demo.envelope.id/?mode=demo)
15:20:01	12098/12098	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%222f42-69427373-18987b;br%22	https://wp.envelope.id/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	C:/My%20Web%20Sites/wed8/wp.envelope.id/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	(from https://roseline-demo.envelope.id/?mode=demo)
15:20:01	60575/60575	---MCZ	200	added ('OK')	text/css	etag:W/%22ec9f-675d79c9-105423;br%22	https://wp.envelope.id/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.11	C:/My%20Web%20Sites/wed8/wp.envelope.id/wp-content/plugins/elementor/assets/css/frontend.min1ffb.css	(from https://roseline-demo.envelope.id/?mode=demo)
15:20:02	186259/186259	---M--	200	added ('OK')	image/png	etag:%222d793-67c85be5-1c6d;;;%22	https://wp.envelope.id/wp-content/uploads/2025/03/freepik__digital-painting-hanging-pink-rose-flowers-and-gre__94518-1.png	C:/My%20Web%20Sites/wed8/wp.envelope.id/wp-content/uploads/2025/03/freepik__digital-painting-hanging-pink-rose-flowers-and-gre__94518-1.png	(from https://roseline-demo.envelope.id/?mode=demo)
15:20:02	87115/87115	---M--	200	added ('OK')	image/jpeg	etag:%221544b-6740873d-1062df;;;%22	https://wp.envelope.id/wp-content/uploads/2024/03/Lux1-37-FILEminimizer.jpg	C:/My%20Web%20Sites/wed8/wp.envelope.id/wp-content/uploads/2024/03/Lux1-37-FILEminimizer.jpg	(from https://roseline-demo.envelope.id/?mode=demo)
15:20:02	22740/22740	---M--	200	added ('OK')	image/jpeg	etag:%2258d4-6740873e-1063b2;;;%22	https://wp.envelope.id/wp-content/uploads/2024/01/card-bg-1024x640.jpeg	C:/My%20Web%20Sites/wed8/wp.envelope.id/wp-content/uploads/2024/01/card-bg-1024x640.jpg	(from https://roseline-demo.envelope.id/?mode=demo)
15:20:03	177611/177611	---M--	200	added ('OK')	image/png	etag:%222b5cb-67b1f8fb-1b74;;;%22	https://wp.envelope.id/wp-content/uploads/2025/02/pinklush-green-vines-hanging-decor-nature-foliage-greenery-plants-leaves-background1.png	C:/My%20Web%20Sites/wed8/wp.envelope.id/wp-content/uploads/2025/02/pinklush-green-vines-hanging-decor-nature-foliage-greenery-plants-leaves-background1.png	(from https://roseline-demo.envelope.id/?mode=demo)
15:20:03	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%22258-675d79c9-10548e;br%22	https://wp.envelope.id/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.11	C:/My%20Web%20Sites/wed8/wp.envelope.id/wp-content/plugins/elementor/assets/css/widget-heading.min1ffb.css	(from https://roseline-demo.envelope.id/?mode=demo)
